X,State,date,cases,Gather,lock_down,school_close,business_close,restaurant_close,quarantine,curfew,emergdec,travel,Mask,Social_Distancing,SD_relative,M_relative,LD_relative
122636,Kentucky,4/27/20,77,9,1,0,1,1,1,0,1,0,1,1,52,23,32
122758,Kentucky,4/28/20,13,9,1,0,1,1,1,0,1,0,1,1,53,24,33
122880,Kentucky,4/29/20,3,9,1,0,1,1,1,0,1,0,1,1,54,25,34
123002,Kentucky,4/30/20,81,9,1,0,1,1,1,0,1,0,1,1,55,26,35
123124,Kentucky,5/1/20,81,9,1,0,1,1,1,0,1,0,1,1,56,27,36
123246,Kentucky,5/2/20,0,9,1,0,1,1,1,0,1,0,1,1,57,28,37
123368,Kentucky,5/3/20,3,9,1,0,1,1,1,0,1,0,1,1,58,29,38
123490,Kentucky,5/4/20,6,9,1,0,1,1,1,0,1,0,1,1,59,30,39
123612,Kentucky,5/5/20,8,9,1,0,1,1,1,0,1,0,1,1,60,31,40
123734,Kentucky,5/6/20,82,9,1,0,1,1,1,0,1,0,1,1,61,32,41
123856,Kentucky,5/7/20,24,9,1,0,1,1,1,0,1,0,1,1,62,33,42
123978,Kentucky,5/8/20,4,9,1,0,1,1,1,0,1,0,1,1,63,34,43
124100,Louisiana,1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124166,Louisiana,1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124232,Louisiana,1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124298,Louisiana,1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124364,Louisiana,1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124430,Louisiana,1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124496,Louisiana,1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124562,Louisiana,1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124628,Louisiana,1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124694,Louisiana,1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124760,Louisiana,2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124826,Louisiana,2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124892,Louisiana,2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124958,Louisiana,2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125024,Louisiana,2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125090,Louisiana,2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125156,Louisiana,2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125222,Louisiana,2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125288,Louisiana,2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125354,Louisiana,2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125420,Louisiana,2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125486,Louisiana,2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125552,Louisiana,2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125618,Louisiana,2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125684,Louisiana,2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125750,Louisiana,2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125816,Louisiana,2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125882,Louisiana,2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125948,Louisiana,2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126014,Louisiana,2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126080,Louisiana,2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126146,Louisiana,2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126212,Louisiana,2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126278,Louisiana,2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126344,Louisiana,2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126410,Louisiana,2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126476,Louisiana,2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126542,Louisiana,2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126608,Louisiana,2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126674,Louisiana,3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126740,Louisiana,3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126806,Louisiana,3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126872,Louisiana,3/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126938,Louisiana,3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127004,Louisiana,3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127070,Louisiana,3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127136,Louisiana,3/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127202,Louisiana,3/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127268,Louisiana,3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127334,Louisiana,3/11/20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
127400,Louisiana,3/12/20,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
127466,Louisiana,3/13/20,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0
127532,Louisiana,3/14/20,0,3,0,0,0,0,0,0,1,0,0,1,3,0,0
127598,Louisiana,3/15/20,0,3,0,0,0,0,0,0,1,0,0,1,4,0,0
127664,Louisiana,3/16/20,0,3,0,0,0,0,0,0,1,0,0,1,5,0,0
127730,Louisiana,3/17/20,0,3,0,0,1,0,0,0,1,0,0,1,6,0,0
127796,Louisiana,3/18/20,0,3,0,0,1,0,0,0,1,0,0,1,7,0,0
127862,Louisiana,3/19/20,0,3,0,0,1,0,0,0,1,0,0,1,8,0,0
127928,Louisiana,3/20/20,0,3,0,0,1,0,0,0,1,0,0,1,9,0,0
127994,Louisiana,3/21/20,0,3,0,0,1,0,0,0,1,0,0,1,10,0,0
128060,Louisiana,3/22/20,0,3,0,0,1,0,0,0,1,0,0,1,11,0,0
128126,Louisiana,3/23/20,1,7,1,0,1,0,0,0,1,0,0,1,12,0,0
128192,Louisiana,3/24/20,2,7,1,0,1,0,0,0,1,0,0,1,13,0,1
128258,Louisiana,3/25/20,2,7,1,0,1,0,0,0,1,0,0,1,14,0,2
128324,Louisiana,3/26/20,3,7,1,0,1,0,0,0,1,0,0,1,15,0,3
128390,Louisiana,3/27/20,8,7,1,0,1,0,0,0,1,0,0,1,16,0,4
128456,Louisiana,3/28/20,9,7,1,0,1,0,0,0,1,0,0,1,17,0,5
128522,Louisiana,3/29/20,9,7,1,0,1,0,0,0,1,0,0,1,18,0,6
128588,Louisiana,3/30/20,11,7,1,0,1,0,0,0,1,0,0,1,19,0,7
128654,Louisiana,3/31/20,39,7,1,0,1,0,0,0,1,0,0,1,20,0,8
128720,Louisiana,4/1/20,47,7,1,0,1,0,0,0,1,0,0,1,21,0,9
128786,Louisiana,4/2/20,61,7,1,0,1,0,0,0,1,0,0,1,22,0,10
128852,Louisiana,4/3/20,72,7,1,0,1,0,0,0,1,0,0,1,23,0,11
128918,Louisiana,4/4/20,65,7,1,0,1,0,0,0,1,0,1,1,24,0,12
128984,Louisiana,4/5/20,75,7,1,0,1,0,0,0,1,0,1,1,25,1,13
129050,Louisiana,4/6/20,79,7,1,0,1,0,0,0,1,0,1,1,26,2,14
129116,Louisiana,4/7/20,82,7,1,0,1,0,0,0,1,0,1,1,27,3,15
