"","State","Countynames","Code","FIPS","Population"
"232","California","Sonoma ","CA",6097,999884
"233","California","Stanislaus ","CA",6099,1099630
"234","California","Sutter ","CA",6101,193614
"235","California","Tehama ","CA",6103,127832
"236","California","Trinity ","CA",6105,25070
"237","California","Tulare ","CA",6107,931722
"238","California","Tuolumne ","CA",6109,109078
"239","California","Ventura ","CA",6111,1701934
"240","California","Yolo ","CA",6113,440816
"241","California","Yuba ","CA",6115,156082
"242","Colorado","Adams ","CO",8001,1023736
"243","Colorado","Alamosa ","CO",8003,33366
"244","Colorado","Arapahoe ","CO",8005,1302430
"245","Colorado","Archuleta ","CO",8007,27530
"246","Colorado","Baca ","CO",8009,7170
"247","Colorado","Bent ","CO",8011,11764
"248","Colorado","Boulder ","CO",8013,652156
"249","Colorado","Chaffee ","CO",8015,40054
"250","Colorado","Cheyenne ","CO",8017,3752
"251","Colorado","Clear Creek ","CO",8019,19210
"252","Colorado","Conejos ","CO",8021,16400
"253","Colorado","Costilla ","CO",8023,7656
"254","Colorado","Crowley ","CO",8025,11716
"255","Colorado","Custer ","CO",8027,9908
"256","Colorado","Delta ","CO",8029,61906
"257","Colorado","Denver ","CO",8031,1432984
"258","Colorado","Dolores ","CO",8033,4148
"259","Colorado","Douglas ","CO",8035,685552
"260","Colorado","Eagle ","CO",8037,109986
"261","Colorado","El Paso ","CO",8041,1427712
"262","Colorado","Elbert ","CO",8039,52564
"263","Colorado","Fremont ","CO",8043,96042
"264","Colorado","Garfield ","CO",8045,119540
"265","Colorado","Gilpin ","CO",8047,12242
"266","Colorado","Grand ","CO",8049,31050
"267","Colorado","Gunnison ","CO",8051,34492
"268","Colorado","Hinsdale ","CO",8053,1622
"269","Colorado","Huerfano ","CO",8055,13778
"270","Colorado","Jackson ","CO",8057,2798
"271","Colorado","Jefferson ","CO",8059,1160466
"272","Colorado","Kiowa ","CO",8061,2766
"273","Colorado","Kit Carson ","CO",8063,14326
"274","Colorado","La Plata ","CO",8067,112620
"275","Colorado","Lake ","CO",8065,15648
"276","Colorado","Larimer ","CO",8069,701036
"277","Colorado","Las Animas ","CO",8071,29006
"278","Colorado","Lincoln ","CO",8073,11220
"279","Colorado","Logan ","CO",8075,43056
"280","Colorado","Mesa ","CO",8077,306414
"281","Colorado","Mineral ","CO",8079,1552
"282","Colorado","Moffat ","CO",8081,26376
"283","Colorado","Montezuma ","CO",8083,52316
"284","Colorado","Montrose ","CO",8085,84428
"285","Colorado","Morgan ","CO",8087,57116
"286","Colorado","Otero ","CO",8089,36864
"287","Colorado","Ouray ","CO",8091,9666
"288","Colorado","Park ","CO",8093,37112
"289","Colorado","Phillips ","CO",8095,8572
"290","Colorado","Pitkin ","CO",8097,35900
"291","Colorado","Prowers ","CO",8099,24328
"292","Colorado","Pueblo ","CO",8101,335058
"293","Colorado","Rio Blanco ","CO",8103,12672
"294","Colorado","Rio Grande ","CO",8105,22500
"295","Colorado","Routt ","CO",8107,51466
"296","Colorado","Saguache ","CO",8109,13686
"297","Colorado","San Juan ","CO",8111,1524
"298","Colorado","San Miguel ","CO",8113,16382
"299","Colorado","Sedgwick ","CO",8115,4606
"300","Colorado","Summit ","CO",8117,62014
"301","Colorado","Teller ","CO",8119,50166
"302","Colorado","Washington ","CO",8121,9818
"303","Colorado","Weld ","CO",8123,628610
"304","Colorado","Yuma ","CO",8125,20040
"305","Connecticut","Fairfield ","CT",9001,1887646
"306","Connecticut","Hartford ","CT",9003,1785394
"307","Connecticut","Litchfield ","CT",9005,362222
"308","Connecticut","Middlesex ","CT",9007,325364
"309","Connecticut","New Haven ","CT",9009,1715240
"310","Connecticut","New London ","CT",9011,533568
"311","Connecticut","Tolland ","CT",9013,301842
"312","Connecticut","Windham ","CT",9015,234054
"313","Delaware","Kent ","DE",10001,357100
"314","Delaware","New Castle ","DE",10003,1118670
"315","Delaware","Sussex ","DE",10005,458572
"316","Florida","Alachua ","FL",12001,539912
"317","Florida","Baker ","FL",12003,56710
"318","Florida","Bay ","FL",12005,370574
"319","Florida","Bradford ","FL",12007,55464
"320","Florida","Brevard ","FL",12009,1193698
"321","Florida","Broward ","FL",12011,3902520
"322","Florida","Calhoun ","FL",12013,29174
"323","Florida","Charlotte ","FL",12015,369996
"324","Florida","Citrus ","FL",12017,295858
"325","Florida","Clay ","FL",12019,432144
"326","Florida","Collier ","FL",12021,756976
"327","Florida","Columbia ","FL",12023,141006
"328","Florida","DeSoto ","FL",12027,74978
"329","Florida","Dixie ","FL",12029,33400
"330","Florida","Duval ","FL",12031,1900362
"331","Florida","Escambia ","FL",12033,631068
"332","Florida","Flagler ","FL",12035,224134
"333","Florida","Franklin ","FL",12037,23472
"334","Florida","Gadsden ","FL",12039,91788
"335","Florida","Gilchrist ","FL",12041,36512
"336","Florida","Glades ","FL",12043,27448
"337","Florida","Gulf ","FL",12045,32328
"338","Florida","Hamilton ","FL",12047,28620
"339","Florida","Hardee ","FL",12049,54490
"340","Florida","Hendry ","FL",12051,83112
"341","Florida","Hernando ","FL",12053,381730
"342","Florida","Highlands ","FL",12055,210848
"343","Florida","Hillsborough ","FL",12057,2873776
"344","Florida","Holmes ","FL",12059,38954
"345","Florida","Indian River ","FL",12061,314826
"346","Florida","Jackson ","FL",12063,96610
"347","Florida","Jefferson ","FL",12065,28576
"348","Florida","Lafayette ","FL",12067,17464
"349","Florida","Lake ","FL",12069,712990
"350","Florida","Lee ","FL",12071,1509220
"351","Florida","Leon ","FL",12073,585004
"352","Florida","Levy ","FL",12075,81540
"353","Florida","Liberty ","FL",12077,16914
"354","Florida","Madison ","FL",12079,37058
"355","Florida","Manatee ","FL",12081,789710
"356","Florida","Marion ","FL",12083,719954
"357","Florida","Martin ","FL",12085,321824
"358","Florida","Miami-Dade ","FL",12086,5523162
"359","Florida","Monroe ","FL",12087,150054
"360","Florida","Nassau ","FL",12089,171664
"361","Florida","Okaloosa ","FL",12091,414538
"362","Florida","Okeechobee ","FL",12093,83074
"363","Florida","Orange ","FL",12095,2761290
"364","Florida","Osceola ","FL",12097,735980
"365","Florida","Palm Beach ","FL",12099,2971882
"366","Florida","Pasco ","FL",12101,1079260
"367","Florida","Pinellas ","FL",12103,1950560
"368","Florida","Polk ","FL",12105,1416018
"369","Florida","Putnam ","FL",12107,148326
"370","Florida","Santa Rosa ","FL",12113,358698
"371","Florida","Sarasota ","FL",12115,853436
"372","Florida","Seminole ","FL",12117,935664
"373","Florida","St. Johns ","FL",12109,508522
"374","Florida","St. Lucie ","FL",12111,642256
"375","Florida","Sumter ","FL",12119,257508
"376","Florida","Suwannee ","FL",12121,88382
"377","Florida","Taylor ","FL",12123,43246
"378","Florida","Union ","FL",12125,29880
"379","Florida","Volusia ","FL",12127,1095076
"380","Florida","Wakulla ","FL",12129,64922
"381","Florida","Walton ","FL",12131,142750
"382","Florida","Washington ","FL",12133,49760
"383","Georgia","Appling ","GA",13001,37014
"384","Georgia","Atkinson ","GA",13003,16594
"385","Georgia","Bacon ","GA",13005,22370
"386","Georgia","Baker ","GA",13007,6184
"387","Georgia","Baldwin ","GA",13009,89646
