"","FIPS","essential_job_numbers"
"746","18051 ",64160
"747","18053 ",24143
"748","18055 ",92556
"749","18057 ",100747
"750","18059 ",61276
"751","18061 ",58335
"752","18063 ",63604
"753","18065 ",59160
"754","18067 ",32506
"755","18069 ",84507
"756","18071 ",47490
"757","18073 ",10561
"758","18075 ",57914
"759","18077 ",59619
"760","18079 ",28368
"761","18081 ",57330
"762","18083 ",102071
"763","18085 ",35432
"764","18087 ",72623
"765","18089 ",25762
"766","18091 ",55476
"767","18093 ",62534
"768","18095 ",34876
"769","18097 ",77437
"770","18099 ",31773
"771","18101 ",79723
"772","18103 ",104608
"773","18105 ",67595
"774","18107 ",37540
"775","18109 ",84887
"776","18111 ",38118
"777","18113 ",71239
"778","18115 ",23240
"779","18117 ",33322
"780","18119 ",31952
"781","18121 ",31881
"782","18123 ",91989
"783","18125 ",39787
"784","18127 ",44053
"785","18129 ",59591
"786","18131 ",39771
"787","18133 ",58213
"788","18135 ",34155
"789","18137 ",68070
"790","18139 ",32833
"791","18141 ",64840
"792","18143 ",29931
"793","18145 ",76775
"794","18147 ",56604
"795","18149 ",33001
"796","18151 ",68867
"797","18153 ",48444
"798","18155 ",8163
"799","18157 ",57286
"800","18159 ",44392
"801","18161 ",39225
"802","18163 ",58131
"803","18165 ",62502
"804","18167 ",62931
"805","18169 ",67531
"806","18171 ",26299
"807","18173 ",94186
"808","18175 ",43452
"809","18177 ",51777
"810","18179 ",50588
"811","18181 ",55800
"812","18183 ",57726
"813","19001 ",27951
"814","19003 ",8547
"815","19005 ",40307
"816","19007 ",42487
"817","19009 ",14274
"818","19011 ",52482
"819","19013 ",29549
"820","19015 ",39107
"821","19017 ",34738
"822","19019 ",35914
"823","19021 ",75884
"824","19023 ",40140
"825","19025 ",23705
"826","19027 ",58148
"827","19029 ",45518
"828","19031 ",50781
"829","19033 ",15615
"830","19035 ",68660
"831","19037 ",28612
"832","19039 ",12650
"833","19041 ",84572
"834","19043 ",13216
"835","19045 ",52359
"836","19047 ",40434
"837","19049 ",32833
"838","19051 ",19616
"839","19053 ",15710
"840","19055 ",51859
"841","19057 ",19672
"842","19059 ",36629
"843","19061 ",57298
"844","19063 ",34589
"845","19065 ",54061
"846","19067 ",33837
"847","19069 ",38778
"848","19071 ",37752
"849","19073 ",30892
"850","19075 ",55024
"851","19077 ",31676
"852","19079 ",52410
"853","19081 ",63860
"854","19083 ",73412
"855","19085 ",78785
"856","19087 ",24801
"857","19089 ",45628
"858","19091 ",51530
"859","19093 ",21399
"860","19095 ",40531
"861","19097 ",37178
"862","19099 ",53973
"863","19101 ",47080
"864","19103 ",49560
"865","19105 ",54401
"866","19107 ",22582
"867","19109 ",51512
"868","19111 ",67098
"869","19113 ",61141
"870","19115 ",20303
"871","19117 ",26137
"872","19119 ",41506
"873","19121 ",40601
"874","19123 ",35710
"875","19125 ",57884
"876","19127 ",49826
"877","19129 ",27640
"878","19131 ",39967
"879","19133 ",8807
"880","19135 ",15808
"881","19137 ",34805
"882","19139 ",43122
"883","19141 ",68938
"884","19143 ",40377
"885","19145 ",34623
"886","19147 ",63997
"887","19149 ",64907
"888","19151 ",44993
"889","19153 ",41911
"890","19155 ",46757
"891","19157 ",66249
"892","19159 ",26680
"893","19161 ",34015
"894","19163 ",54789
"895","19165 ",75929
"896","19167 ",94249
"897","19169 ",28182
"898","19171 ",43611
"899","19173 ",51951
"900","19175 ",54679
"901","19177 ",48291
"902","19179 ",67432
"903","19181 ",49954
"904","19183 ",36277
"905","19185 ",42179
"906","19187 ",18350
"907","19189 ",49506
"908","19191 ",37839
"909","19193 ",38533
"910","19195 ",36103
"911","19197 ",26237
"912","20001 ",19380
"913","20003 ",75775
"914","20005 ",19513
"915","20007 ",47994
"916","20009 ",50951
"917","20011 ",46298
"918","20013 ",19575
"919","20015 ",70844
"920","20017 ",27321
"921","20019 ",48675
"922","20021 ",33004
"923","20023 ",48718
"924","20025 ",13189
"925","20027 ",39043
"926","20029 ",25425
"927","20031 ",46528
"928","20033 ",32726
"929","20035 ",59368
