"","Code","State","FIPS","Countynames"
"326","FL","Florida",12007,"Bradford "
"327","FL","Florida",12009,"Brevard "
"328","FL","Florida",12011,"Broward "
"329","FL","Florida",12013,"Calhoun "
"330","FL","Florida",12015,"Charlotte "
"331","FL","Florida",12017,"Citrus "
"332","FL","Florida",12019,"Clay "
"333","FL","Florida",12021,"Collier "
"334","FL","Florida",12023,"Columbia "
"335","FL","Florida",12027,"DeSoto "
"336","FL","Florida",12029,"Dixie "
"337","FL","Florida",12031,"Duval "
"338","FL","Florida",12033,"Escambia "
"339","FL","Florida",12035,"Flagler "
"340","FL","Florida",12037,"Franklin "
"341","FL","Florida",12039,"Gadsden "
"342","FL","Florida",12041,"Gilchrist "
"343","FL","Florida",12043,"Glades "
"344","FL","Florida",12045,"Gulf "
"345","FL","Florida",12047,"Hamilton "
"346","FL","Florida",12049,"Hardee "
"347","FL","Florida",12051,"Hendry "
"348","FL","Florida",12053,"Hernando "
"349","FL","Florida",12055,"Highlands "
"350","FL","Florida",12057,"Hillsborough "
"351","FL","Florida",12059,"Holmes "
"352","FL","Florida",12061,"Indian River "
"353","FL","Florida",12063,"Jackson "
"354","FL","Florida",12065,"Jefferson "
"355","FL","Florida",12067,"Lafayette "
"356","FL","Florida",12069,"Lake "
"357","FL","Florida",12071,"Lee "
"358","FL","Florida",12073,"Leon "
"359","FL","Florida",12075,"Levy "
"360","FL","Florida",12077,"Liberty "
"361","FL","Florida",12079,"Madison "
"362","FL","Florida",12081,"Manatee "
"363","FL","Florida",12083,"Marion "
"364","FL","Florida",12085,"Martin "
"365","FL","Florida",12086,"Miami-Dade "
"366","FL","Florida",12087,"Monroe "
"367","FL","Florida",12089,"Nassau "
"368","FL","Florida",12091,"Okaloosa "
"369","FL","Florida",12093,"Okeechobee "
"370","FL","Florida",12095,"Orange "
"371","FL","Florida",12097,"Osceola "
"372","FL","Florida",12099,"Palm Beach "
"373","FL","Florida",12101,"Pasco "
"374","FL","Florida",12103,"Pinellas "
"375","FL","Florida",12105,"Polk "
"376","FL","Florida",12107,"Putnam "
"377","FL","Florida",12109,"St. Johns "
"378","FL","Florida",12111,"St. Lucie "
"379","FL","Florida",12113,"Santa Rosa "
"380","FL","Florida",12115,"Sarasota "
"381","FL","Florida",12117,"Seminole "
"382","FL","Florida",12119,"Sumter "
"383","FL","Florida",12121,"Suwannee "
"384","FL","Florida",12123,"Taylor "
"385","FL","Florida",12125,"Union "
"386","FL","Florida",12127,"Volusia "
"387","FL","Florida",12129,"Wakulla "
"388","FL","Florida",12131,"Walton "
"389","FL","Florida",12133,"Washington "
"390","GA","Georgia",13001,"Appling "
"391","GA","Georgia",13003,"Atkinson "
"392","GA","Georgia",13005,"Bacon "
"393","GA","Georgia",13007,"Baker "
"394","GA","Georgia",13009,"Baldwin "
"395","GA","Georgia",13011,"Banks "
"396","GA","Georgia",13013,"Barrow "
"397","GA","Georgia",13015,"Bartow "
"398","GA","Georgia",13017,"Ben Hill "
"399","GA","Georgia",13019,"Berrien "
"400","GA","Georgia",13021,"Bibb "
"401","GA","Georgia",13023,"Bleckley "
"402","GA","Georgia",13025,"Brantley "
"403","GA","Georgia",13027,"Brooks "
"404","GA","Georgia",13029,"Bryan "
"405","GA","Georgia",13031,"Bulloch "
"406","GA","Georgia",13033,"Burke "
"407","GA","Georgia",13035,"Butts "
"408","GA","Georgia",13037,"Calhoun "
"409","GA","Georgia",13039,"Camden "
"410","GA","Georgia",13043,"Candler "
